Inventory_Id,Product_Id,Quantity_Available,Last_Update
I001,Unknown,0,45458
I002,Unknown,10,45306
I003,Unknown,0,45458
I004,P0041,5,45350
I005,P0043,10,45631
I006,Unknown,5,45350
I008,Unknown,5,45672
I010,P0047,5,45458
I011,Unknown,0,45672
I012,P005,0,45350
I013,P005,0,45350
I014,Unknown,5,45306
I015,P005,5,45458
I016,Unknown,100,45458
I017,Unknown,0,45350
I018,P005,100,45458
I019,P0001,0,45350
I020,P0034,0,45672
I022,Unknown,0,45494
I023,P0036,0,45672
I024,P0028,10,45672
I025,Unknown,0,45306
I026,Unknown,5,45672
I027,Unknown,5,45494
I029,P005,0,45458
I030,P005,0,45672
I031,P0042,100,45672
I032,Unknown,10,45631
I037,P0050,10,45631
I038,P005,5,45458
I039,Unknown,5,45494
I040,P005,0,45458
I041,Unknown,0,45494
I044,Unknown,100,45672
I045,P005,100,45494
I046,P0038,5,45631
I047,Unknown,0,45424
I049,P0033,100,45557
I050,P005,10,45631
